iter	Logloss
0	0.6797088759
1	0.6686884766
2	0.6573887804
3	0.6475001085
4	0.6381368273
5	0.628683214
6	0.6205417752
7	0.6109981554
8	0.6026575521
9	0.5950757378
10	0.5887968207
11	0.5815215929
12	0.5751302626
13	0.5693967014
14	0.5629398329
15	0.5574001736
16	0.5512105035
17	0.5457843967
18	0.5405413411
19	0.5348363715
20	0.5303806966
21	0.5257985569
22	0.5209226345
23	0.5173689236
24	0.5130558811
25	0.5094599609
26	0.5059862196
27	0.502527181
28	0.4993089193
29	0.4955958116
30	0.4924154188
31	0.4896312391
32	0.4869986437
33	0.4839921875
34	0.4813503147
35	0.4788574219
36	0.4763576931
37	0.4744512804
38	0.4725458442
39	0.4704418403
40	0.4686081272
41	0.4665885417
42	0.4648027344
43	0.4632399089
44	0.4616199544
45	0.4597863498
46	0.4582629123
47	0.4568179796
48	0.4549436306
49	0.4531079644
50	0.4518085124
51	0.4503474935
52	0.4493958333
53	0.4482033149
54	0.4469824219
55	0.4456931152
56	0.4445750326
57	0.4431118164
58	0.442041748
59	0.4409207086
60	0.4400782606
61	0.4391035156
62	0.4382370334
63	0.4374639757
64	0.4367343479
65	0.4358615723
66	0.4351673177
67	0.4345367296
68	0.4337330729
69	0.4329010959
70	0.4319570855
71	0.431388265
72	0.4307083062
73	0.4301956651
74	0.4292259386
75	0.4284391276
76	0.4278427734
77	0.4272644586
78	0.4265258789
79	0.426070204
80	0.4254565701
81	0.424987793
82	0.4243969184
83	0.4236307237
84	0.4231047092
85	0.4227403158
86	0.4222004395
87	0.4217406955
88	0.4211402724
89	0.4206286079
90	0.4201563585
91	0.4197564019
92	0.4192642144
93	0.4187197808
94	0.4183705512
95	0.417995931
96	0.4176530762
97	0.4172643772
98	0.4166939833
99	0.4163191732
100	0.4159032389
101	0.4155528971
102	0.4151906467
103	0.414852946
104	0.414296441
105	0.4140608181
106	0.4137911513
107	0.4135609809
108	0.4133445095
109	0.4130070258
110	0.4127218153
111	0.4124568956
112	0.4120732693
113	0.4117273492
114	0.4114975315
115	0.4112100152
116	0.4109358181
117	0.4107180447
118	0.410394911
119	0.410042589
120	0.4096950955
121	0.4094784071
122	0.4092159288
123	0.4090134277
124	0.4088313802
125	0.4084846734
126	0.4081773003
127	0.4079145508
128	0.4076514214
129	0.4073944227
130	0.4072181803
131	0.4068999837
132	0.4066366645
133	0.4064241808
134	0.4062156576
135	0.4059107259
136	0.4057460395
137	0.4054902072
138	0.405191569
139	0.4049464247
140	0.4047245009
141	0.4044895291
142	0.404281901
143	0.404103163
144	0.4039245877
145	0.403755778
146	0.4035629883
147	0.4033952094
148	0.403158827
149	0.4030152995
150	0.4028347982
151	0.4026285265
152	0.4024740126
153	0.4023257107
154	0.4021362305
155	0.401910753
156	0.4017061632
157	0.4015378689
158	0.4012751194
159	0.4010736762
160	0.4009303928
161	0.4007646484
162	0.4006723362
163	0.4005253906
164	0.4004077691
165	0.400281033
166	0.4001414931
167	0.399923584
168	0.3997667643
169	0.3995172526
170	0.3992990723
171	0.3991349826
172	0.3989852702
173	0.3988794759
174	0.3986707899
175	0.3984824761
176	0.3983228082
177	0.3982229546
178	0.3980816515
179	0.3979316406
180	0.3978254937
181	0.3976379123
182	0.3975723741
183	0.3974389377
184	0.3973571506
185	0.3971880425
186	0.3970598416
187	0.3969335395
188	0.3968273655
189	0.3966985677
190	0.396583903
191	0.3964217936
192	0.3962079536
193	0.3960632595
194	0.3959086643
195	0.3958017849
196	0.3956762695
197	0.3955900065
198	0.3954332682
199	0.3952903917
200	0.3952220595
201	0.3950917155
202	0.3949599609
203	0.3948175456
204	0.3946764865
205	0.3946029188
206	0.3944155816
207	0.3942945692
208	0.394135281
209	0.3939696994
210	0.3938212348
211	0.3936953125
212	0.3935390896
213	0.3933857422
214	0.3932892253
215	0.393208686
216	0.3930825467
217	0.3929362793
218	0.3927867296
219	0.3926934408
220	0.3925010579
221	0.3923821615
222	0.3921960178
223	0.3921073134
224	0.3919526096
225	0.3918443739
226	0.3917484809
227	0.3916758898
228	0.3915880805
229	0.3915016005
230	0.3914116482
231	0.3913199599
232	0.3911638997
233	0.3910066189
234	0.3909082031
235	0.3908143446
236	0.3907462023
237	0.3906267904
238	0.390574056
239	0.3904540473
240	0.3903623589
241	0.3902488607
242	0.3900581326
243	0.389874783
244	0.3897622613
245	0.3896771376
246	0.3895167643
247	0.3893623318
248	0.3892961155
249	0.3891724447
250	0.3890883247
251	0.3889336209
252	0.3887891168
253	0.3886792806
254	0.3885992296
255	0.3884984538
256	0.3884205729
257	0.388352105
258	0.3882387424
259	0.3880978461
260	0.3880272352
261	0.3878481717
262	0.3877388509
263	0.3876566569
264	0.3874865723
265	0.387415663
266	0.3873539497
267	0.3872370605
268	0.3871121962
269	0.3869949544
270	0.3868819444
271	0.38678852
272	0.3867146539
273	0.3866210666
274	0.3865674913
275	0.3864360894
276	0.386378852
277	0.3862302789
278	0.3861584744
279	0.386087538
280	0.3859720866
281	0.3859082031
282	0.3858216688
283	0.3857084961
284	0.3856434462
285	0.3855055881
286	0.3854011502
287	0.3852670356
288	0.3851558702
289	0.3850449219
290	0.3849277072
291	0.384817003
